,genotype_1,rep_1,shoot_mass,root_mass,total_mass,ratio_root_to_shoot,root_colonization,genotype_2`,rep_2,Response,genotype_4,rep_4,TN,P,Ca,K,Mg,Na,S,Fe,Zn,Cu,Mn,G_5,REP_5,Length(cm),AvgDiam(mm),Forks,SurfArea(cm2)
count,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,142.0,142.0,142.0,142.0,142.0,120.0,142.0,141.0,142.0,142.0,141.0,143.0,143.0,141.0,141.0,141.0,141.0
mean,6.496503496503497,2.993006993006993,22.51538321678322,13.102657342657345,35.618040559440566,0.35470190990909095,32.70629370629371,6.496503496503497,2.993006993006993,-7.78043818046853,6.496503496503497,2.993006993006993,1.486990366197183,0.0913943661971831,0.741676056338028,1.0846408450704224,0.22885211267605635,0.14750833333333332,0.36458450704225354,163.8114255319149,31.13471830985915,18.043154929577465,90.11750354609929,6.496503496503497,2.972027972027972,284.18434255319147,0.32636382978723405,2399.921985815603,28.52633120567376
std,3.4760227512548316,1.590006216200549,4.965670343836772,6.3490533785986,9.413207454215053,0.0988186145495523,7.873857769013246,3.4760227512548316,1.590006216200549,42.33029562718954,3.4760227512548316,1.590006216200549,0.20176541612864943,0.030361873662382573,0.16294181832857935,0.1739881931899218,0.050375039859984386,0.06681983752056353,0.3297107101420568,165.4118286583621,7.44817349247375,8.13859668780488,52.785232266045256,3.4760227512548316,1.5875575000967568,128.59904463063828,0.059064986336595814,1749.9339255727098,12.624832079647831
min,1.0,1.0,8.435,2.09,18.916,0.09009785699999999,18.0,1.0,1.0,-190.58637209999998,1.0,1.0,0.9648959999999999,0.027999999999999997,0.353,0.575,0.13,0.06,0.182,2.719,14.3,6.63,33.9,1.0,1.0,28.3046,0.1999,8.0,3.5998
25%,3.5,1.5,19.111,8.425,28.4955,0.287398064,27.0,3.5,1.5,-30.3451968,3.5,1.5,1.354792,0.06925,0.63,0.97775,0.19924999999999998,0.1,0.294,61.87,26.208,12.771,56.315,3.5,1.0,195.562,0.2885,1295.0,19.8378
50%,6.0,2.0,22.414,11.42,34.67,0.352886188,32.0,6.0,2.0,-2.370098475,6.0,2.0,1.47,0.09,0.73,1.0644999999999998,0.223,0.127,0.34,128.972,30.396500000000003,15.834,67.131,6.0,2.0,264.1689,0.3196,2032.0,26.5272
75%,9.5,4.5,25.927500000000002,16.005000000000003,42.1795,0.422147202,37.0,9.5,4.5,23.24036932,9.5,4.5,1.606155,0.109,0.84975,1.18525,0.2495,0.16749999999999998,0.37475,205.13099999999997,35.7265,20.42125,104.2,9.5,4.0,362.9896,0.365,2962.0,35.2742
max,12.0,5.0,34.354,33.25,59.431999999999995,0.602475601,57.0,12.0,5.0,60.36672497,12.0,5.0,2.13056,0.172,1.11,1.653,0.45299999999999996,0.361,4.2,1161.97,62.556999999999995,59.3,278.54200000000003,12.0,5.0,782.7421,0.4915,9352.0,72.7977
