,H,P value
0,14.869197272715155,0.00011522930519073575
1,4.46527981537111,0.034590423741419206
2,41.626426376542724,1.1048964162507391e-10
3,23.440488346587856,1.2883815552181293e-06
4,1.0510804143918238,0.3052583889090504
5,3.3069550439696784,0.06898720955369567
6,102.27707382275142,4.8274676797603695e-24
7,17.88167462052457,2.3507380956190357e-05
8,28.179889315191158,1.1054724435830189e-07
9,9.875199071347524,0.0016752147115885634
10,3.7908582550955114,0.05153321823202304
11,0.2188535278226997,0.6399148644735146
